PMC_IDs_TP,PMC_IDs_FP,PMC_IDs_R
"10803162, 10803024, 10802804, 10802160, 10802101, 10802069, 10802051, 10801996, 10801964, 10801814, 10801200, 10801022, 10800916, 10800898, 10800854, 10800846, 10800840, 10800832, 10800778, 10800485, 10801004, 10800207, 10797890, 10796647, 10794705, 10792039, 10791622, 10790651, 10778654, 10778177, 10773790, 10769453, 10768885, 10768369, 10767926, 10766395, 10761120, 10758425, 10757041, 10746218","10800207, 10799122, 10797890, 10797792, 10794705, 10791622, 10790651, 10778654, 10777565, 10773790, 10770713, 10768885, 10768369, 10766395, 10764424, 10760300, 10756279, 10753268, 10746218, 10745291, 10800846, 10800207, 10799929, 10799726, 10799534, 10799530, 10799412, 10799374, 10798986, 10798900, 10798513, 10798365, 10797064, 10797006, 10794705, 10794284, 10794237, 10794206, 10793937, 10792359","10801814, 10794705, 10791616, 10790752, 10770845, 10770216, 10767926, 10766395, 10760167, 10745641, 10721710, 10704631, 10702245, 10696587, 10692603, 10691087, 10790575, 10784697, 10776411, 10773735, 10803130, 10803017, 10802858, 10802778, 10802555, 10802229, 10802164, 10802150, 10802039, 10801946, 10801944, 10801826, 10801788, 10801744, 10801661, 10801655, 10801607, 10801509, 10801501, 10801380"
"10472646, 10803070, 10802914, 10802843, 10802793, 10801599, 10801004, 10800976, 10800970, 10800968, 10800824, 10800505, 10800401, 10800116, 10799913, 10799430, 10799112, 10798966, 7615547, 10797874, 10796578","10801642, 10801615, 10800968, 10800960, 10800824, 10800820, 10800401, 10800374, 10799433, 10799199, 10799143, 10798966, 10798721, 10798368, 10797188, 10797108, 10796758, 10796403, 10795830, 10795602","10748089, 10705352, 10703040, 10652793, 10613577, 10570328, 10458394, 10407432, 10384725, 10383035, 10685026, 10674737, 10235996, 10225595, 10424059, 10413862, 9949771, 9896928, 10128170, 10063791, 10803166, 10802918, 10802857, 10802846, 10802810, 10802683, 10802212, 10802203, 10802180, 10802175, 10802164, 10802158, 10802151, 10802131, 10802047, 10802021, 10802000, 10801958, 10801940, 10801852"
"10786441, 10778008, 10773190, 10758892, 10756472, 10753630, 10744584, 10724236, 10721983, 10704102, 10693369, 10796744, 10780704, 10767481, 10766800, 10725532, 10712774, 10702265, 10697495, 10691136, 10796816, 10794555, 10789753, 10786415, 10782923, 10781985, 10780623, 10779588, 10778817, 10778542, 10778210, 10778019, 10774320, 10768046, 10767201, 10766653, 10765515, 10763075, 10760102, 10755504","10802203, 10801221, 10800916, 10800327, 10799500, 10798721, 10798565, 10798135, 10797674, 10797146, 10796827, 10796816, 10796354, 10795602, 10795359, 10795262, 10794945, 10794778, 10794736, 10794616","10797146, 10796816, 10794784, 10794555, 10789753, 10788410, 10787224, 10781769, 10778975, 10776602, 10774906, 10774320, 10768273, 10768168, 10766395, 10765515, 10763075, 10758921, 10755504, 10743506"
"10802798, 10802158, 10801458, 10801329, 10801111, 10800916, 10800778, 10800390, 10800310, 10800157, 10799955, 10799553, 10799464, 10799412, 10799341, 10798365, 10798145, 10797890, 10797776, 10797727, 10803162, 10801906, 10801670, 10801499, 10801385, 10801245, 10801200, 10801111, 10801044, 10801022, 10800916, 10800910, 10800802, 10800390, 10800374, 10800300, 10800207, 10800157, 10799955, 10799902","10803162, 10802683, 10802158, 10801856, 10801604, 10800916, 10800310, 10799726, 10799464, 10799412, 10799341, 10799292, 10798763, 10797078, 10797056, 10796650, 10796640, 10796354, 10796184, 10795738","10802798, 10802683, 10802103, 10801873, 10801737, 10801732, 10801670, 10801662, 10801516, 10801329, 10801243, 10801200, 10801048, 10801044, 10801034, 10800980, 10800910, 10800820, 10800816, 10800802"
"10802810, 10801662, 10801555, 10801200, 10801024, 10800980, 10800956, 10800910, 10800556, 10800451, 10800401, 10800390, 10800374, 10800370, 10800207, 10800110, 10800073, 10799947, 10799855, 10799778, 10802212, 10800550, 10796827, 10794014, 10792175, 10790450, 10790212, 10789445, 10784114, 10783424, 10778545, 10778523, 10773855, 10772529, 10771654, 10768935, 10750280, 10757218, 10751935, 10748144","10803166, 10803068, 10802912, 10802857, 10802846, 10802827, 10802793, 10802683, 10802431, 10802212, 10802208, 10802180, 10802164, 10802151, 10802141, 10802131, 10802047, 10802021, 10802000, 10801958","10802212, 10800550, 10800401, 10799939, 10796827, 10794014, 10793624, 10792175, 10791948, 10790450, 10789594, 10789445, 10785350, 10785269, 10784114, 10783424, 10781740, 10779195, 10778545, 10778523"
"10800928, 10800207, 10786183, 10766654, 10763321, 10759424, 10750682, 10748388, 10732042, 10722681, 10719858, 10717641, 10715677, 10706647, 10705738, 10698143, 10694658, 10689131, 10799395, 10797689, 10800928, 10800207, 10799693, 10786183, 10776878, 10770899, 10769474, 10766654, 10759424, 10758524, 10758507, 10758453, 10750682, 10722681, 10719858, 10717641, 10715920, 10715677, 10706647, 10698953","10802828, 10802577, 10802225, 10802212, 10802180, 10802127, 10802069, 10802055, 10802011, 10801998, 10801906, 10801902, 10801845, 10801737, 10801714, 10801670, 10801309, 10801267, 10801263, 10801249","10800928, 10800207, 10794189, 10786183, 10784103, 10776564, 10773754, 10769474, 10766654, 10759716, 10759424, 10758524, 10750682, 10748388, 10744736, 10725313, 10722681, 10719858, 10717641, 10713524"
"10799412, 10798900, 10797890, 10797485, 10794738, 10791627, 10791616, 10790752, 10790697, 10789680, 10785708, 10784543, 10782538, 10780804, 10780176, 10778654, 10778076, 10773633, 10773572, 10772641, 10802228, 10800808, 10800778, 10799925, 10799778, 10797776, 10797485, 10794557, 10791616, 10790785, 10788479, 10783097, 10782069, 10779485, 10778935, 10776634, 10776621, 10774192, 10774093, 10773633","10802228, 10802171, 10801496, 10800778, 10799925, 10799778, 10797776, 10797485, 10797108, 10795258, 10793675, 10793303, 10793280, 10793274, 10790817, 10790784, 10787657, 10786678, 10783111, 10783031, 10802228, 10799374, 10797776, 10794237, 10782949, 10779485, 10778767, 10772200, 10771991, 10770074, 10766818, 10766395, 10763231, 10758498, 10757094, 10755466, 10745772, 10745150, 10745069, 10740415, 10803130, 10802947, 10802856, 10802798, 10802724, 10802683, 10802577, 10802562, 10802431, 10802316, 10802212, 10802122, 10802103, 10802089, 10802077, 10802069, 10802055, 10801998, 10801926, 10801906","10803171, 10802969, 10802811, 10802668, 10801992, 10801988, 10801916, 10801827, 10801734, 10801670, 10801599, 10801440, 10801386, 10801343, 10801286, 10801252, 10801082, 10801004, 10800982, 10800976, 10800808, 10799925, 10797776, 10797485, 10794557, 10791622, 10791616, 10790785, 10782763, 10782663, 10780176, 10779485, 10778935, 10773633, 10770624, 10770264, 10769429, 10767988, 10767833, 10767790"
"10802212, 10790450, 10790212, 10785269, 10747579, 10745356, 10741778, 10716031, 10802034, 10801515, 10754134, 10752015, 10748411, 10733583, 10732047, 10731169, 10705678, 10697095, 10692397, 10685641","10802969, 10800916, 10800874, 10800826, 10800605, 10800578, 10799142, 10798513, 10798156, 10798037, 10797776, 10797616, 10797485, 10797076, 10797042, 10797024, 10796445, 10795475, 10795464, 10795258, 10803166, 10803162, 10803071, 10803070, 10803068, 10802967, 10802857, 10802846, 10802810, 10802793, 10802683, 10802212, 10802208, 10802180, 10802164, 10802117, 10802103, 10802047, 10802021, 10802000","10802212, 10800550, 10796827, 10794014, 10792175, 10790450, 10790212, 10789445, 10784114, 10783424, 10778545, 10778523, 10773855, 10772529, 10771654, 10768935, 10750280, 10757218, 10751935, 10748144, 10776763, 10693315, 10731169, 10705678, 10669250, 10636641, 10585062, 10580657, 10525198, 10439624, 10406561, 10376413, 10351475, 10675981, 10669395, 10301655, 10300525, 10266216, 10230072, 10501010"
"10800207, 10794557, 10785269, 10779569, 10778851, 10770264, 10758054, 10749881, 10729361, 10723274, 10715687, 10714298, 10706944, 10703311, 10700148, 10697693, 10692654, 10688819, 10800801, 10800223","10801417, 10799726, 10799122, 10797485, 10795318, 10794784, 10792199, 10791622, 10790651, 10790632, 10790441, 10785759, 10784701, 10783093, 10781878, 10778316, 10776791, 10776227, 10773090, 10771300","10803162, 10803070, 10802180, 10802069, 10801996, 10801990, 10801988, 10801732, 10801599, 10801581, 10801111, 10801052, 10801022, 10800980, 10800978, 10800944, 10800916, 10800846, 10800778, 10800703, 10802969, 10800157, 10794945, 10794505, 10794284, 10791622, 10790752, 10790581, 10786629, 10785534, 10783051, 10781722, 10780761, 10778851, 10773886, 10773624, 10769841, 10761180, 10757257, 10753781"
"10801988, 10801856, 10801243, 10800980, 10800846, 10800726, 10800666, 10800605, 10800392, 10800390, 10800298, 10800207, 10800157, 10799947, 10799925, 10799412, 10799404, 10799341, 10799292, 10798900, 10793686, 10749762, 10734493, 10696028, 10777064, 10709749, 10704913, 10671666, 10628233, 10599642, 10477591, 10337137, 10242440, 10511952, 10414638, 10383262, 10334131, 10242102, 10174259, 10169812","10803162, 10802926, 10802798, 10802683, 10802158, 10801873, 10801814, 10801670, 10801604, 10801555, 10801499, 10801329, 10801263, 10801048, 10801044, 10801034, 10801022, 10800916, 10800846, 10800605, 10801814, 10801417, 10801044, 10800840, 10800298, 10800207, 10793722, 10799726, 10799530, 10799412, 10798365, 10797890, 10797776, 10797080, 10796427, 10794784, 10794705, 10794557, 10794284, 10794208","10749762, 10734493, 10642346, 10438834, 10665598, 10632069, 10269714, 10242440, 10227522, 10222030, 10561484, 10134792, 9993121, 10161951, 10084625, 10082668, 10073628, 9888269, 10030841, 9973266"
"10800994, 10318530, 10334563, 10105735, 10097931, 9317776, 8898355, 8640817, 7946422, 10768089, 10762336, 10762216, 10760796, 10755970, 10747248, 10731827, 10728077, 10700110, 10800994, 10799346, 10786697, 10773921, 10773124, 10757115, 10699061, 10658085, 10654091, 10649913, 10637962","10802749, 10802180, 10801156, 10801052, 10801044, 10801024, 10800968, 10800824, 10800726, 10800548, 10800451, 10800390, 10800198, 10800077, 10799763, 10799627, 10799411, 10799372, 10799058, 10798963, 10802180, 10801940, 10801633, 10801581, 10801237, 10801156, 10801024, 10801020, 10800995, 10800990, 10800986, 10800968, 10800934, 10800928, 10800918, 10800824, 10800820, 10800455, 10800451, 10800405","10802180, 10802055, 10801734, 10801670, 10801633, 10801589, 10801237, 10801156, 10801072, 10801024, 10801022, 10801008, 10800995, 10800990, 10800986, 10800978, 10800968, 10800934, 10800846, 10800824"
"10793722, 10797044, 10795342, 10792199, 10779569, 10779485, 10771827, 10767240, 10764071, 10759990, 10755466, 10749918, 10746064, 10742510, 10741940, 10741843, 10741487, 10732203, 10731685, 10730217, 10802668, 10801992, 10800922, 10799263, 10797044, 10796427, 10795328, 10794618, 10793556, 10793328, 10791874, 10789613, 10788479, 10787497, 10786237, 10783801, 10783704, 10783462, 10783071, 10781591","10802924, 10802668, 10802082, 10801992, 10801440, 10800922, 10800399, 10799263, 10799142, 10798535, 10796943, 10796693, 10796020, 10795861, 10795629, 10795328, 10795020, 10794769, 10794618, 8772404","10802668, 10802082, 10801992, 10801440, 10800922, 10796020, 10795629, 10795328, 10794769, 10793669, 10793556, 10791618, 10791135, 10790675, 10790490, 10789724, 10789613, 10786237, 10785524, 10784706"
"10801670, 10800846, 10800828, 10800370, 10799070, 10796403, 10794214, 10792976, 10792172, 10792057, 10791791, 10790049, 10789937, 10788812, 10788623, 10788067, 10786282, 10785263, 10784177, 10783205, 10802573, 10801966, 10801642, 10801004, 10800968, 10800824, 10800820, 10800505, 10800401, 10800382, 10800358, 10800091, 10800041, 10799902, 10799433, 10799430, 10799425, 10799351, 10799143, 10799120","10803070, 10802843, 10802810, 10802573, 10802208, 10802129, 10802000, 10801732, 10801708, 10801642, 10801599, 10801004, 10800976, 10800968, 10800908, 10800824, 10800820, 10800782, 10800748, 10800726","10803070, 10802843, 10801708, 10801599, 10801004, 10800846, 10800748, 10800505, 10800207, 10799913, 10799902, 10799860, 10799143, 10799112, 10798987, 10798966, 10798368, 10796172, 10796040, 10795779, 10802843, 10802728, 10802082, 10802000, 10801962, 10801734, 10801708, 10801642, 10801599, 10801591, 10801496, 10800908, 10800846, 10800824, 10800820, 10800548, 10800505, 10800401, 10800376, 10800231"
"10506740, 8384187, 7393571, 5831611, 3723557, 10770843, 10740584, 10740468, 10698811, 10695944, 10691071, 10784854, 10774587, 10677694, 10615587, 10602672, 10589377, 10509995, 10510307, 10506954, 10495941, 10445337, 10390090, 10680608, 8606763, 10785661, 10779635, 10755971, 10742246, 10740584, 10695944, 10774587, 10716015, 10673005, 10669336, 10481559, 10479211, 10419851, 10308373, 10610205, 10603928, 10525830, 10516668, 10459546, 10457599","10803185, 10802810, 10801599, 10801240, 10800892, 10800376, 10798397, 10797541, 10797329, 10796664, 10794347, 10794242, 10793385, 10792063, 10790315, 10789168, 10787583, 10787278, 10786330, 10786053, 10779635, 10770843, 10761203, 10740584, 10740468, 10706114, 10698811, 10695944, 10691071, 10784854, 10774587, 10677694, 10615587, 10606829, 10602672, 10589377, 10567564, 10559009, 10509995, 10510307, 10173249, 10167934, 10035982, 9971977, 9860303, 7771198, 9759349, 7778149, 9758002, 9484563, 9454102, 9389360, 9009260, 8741291, 8974695, 8671611, 9112072, 8630702, 8462437, 8471597, 10779635, 10770843, 10761203, 10740584, 10740468, 10706114, 10698811, 10695944, 10691071, 10784854, 10774587, 10677694, 10615587, 10606829, 10602672, 10589377, 10567564, 10559009, 10509995, 10510307, 10173249, 10167934, 9971977, 9860303, 9853002, 7778149, 9758002, 9484563, 9454102, 9138178, 9009260, 8974695, 8671611, 8630702, 8462437, 8471597, 8489568, 8271808, 8619793, 8395706","10747482, 10740453, 10761908, 10739175, 10709086, 10696046, 10682124, 10674458, 10569427, 10512847, 7534801, 10399156, 10383759, 10670231, 10660720, 10309056, 10300919, 10245978, 10218924, 10586544, 10801599, 10801290, 10801240, 10800376, 10799884, 10799534, 10798785, 10798107, 10798041, 10797541, 10797329, 10796816, 10796664, 10795475, 10794945, 10794775, 10794242, 10793385, 10793171, 10792632"
"10797784, 10797509, 10794017, 10793145, 10792261, 10787786, 10786400, 10784969, 10782214, 10779015, 10774906, 10765587, 10764480, 10762872, 10757360, 10752988, 10749996, 10745858, 10745134, 10745028, 10802533, 10801489, 10800824, 10800509, 10800505, 10800401, 10799947, 10799834, 10798370, 10798041, 10796567, 10795779, 10795475, 10794746, 10794235, 8772398, 10793199, 10792703, 10792057, 10792043","10799597, 10795355, 10794237, 10793145, 10785534, 10784798, 10782214, 10780945, 10780540, 10775969, 10765587, 10764480, 10753866, 10752988, 10747421, 10745958, 10745134, 10745050, 10745028, 10743498, 10803031, 10802858, 10802856, 10802768, 10802187, 10802084, 10802065, 10801572, 10801501, 10801463, 10801290, 10801281, 10800487, 10800011, 10799949, 10799333, 10798900, 10798899, 10798256, 10798254","10800824, 10800509, 10800505, 10800401, 10799947, 10799834, 10798370, 10798041, 10795779, 10795475, 10794746, 10794555, 10794235, 10793199, 10792703, 10792057, 10790789, 10790211, 10787583, 10787489, 10797784, 10793145, 10786400, 10782214, 10780326, 10765587, 10764480, 10757501, 10752988, 10745914, 10745134, 10745028, 10734970, 10724188, 10722198, 10694575, 10690064, 10801943, 10800223, 10793144"
"10797400, 10772200, 10757894, 10754561, 10733488, 10712182, 10706342, 10706243, 10694262, 10800268, 10799653, 10799644, 10798484, 10781886, 10760710, 10758229, 10754621, 10752492, 10748565, 10745980, 8678279","10202352, 8678279, 8536098, 6464943, 10802776, 10802668, 10800824, 10799778, 10799763, 10798718, 10798563, 10797776, 10797691, 10797126, 10795700, 10794775, 10794658, 10794575, 10794567, 10793686, 10793291, 10793205, 10792489, 10792400","10802683, 10800207, 10799708, 10795342, 10794775, 10794746, 10794505, 10793145, 10791512, 10790177, 10779485, 10779093, 10777962, 10777265, 10773120, 10772200, 10770098, 10766654, 10763088, 10759404, 10802845, 10802125, 10801734, 10801615, 10801440, 10801349, 10801267, 10800736, 10800722, 10800621, 10800459, 10800207, 10800114, 10800102, 10800039, 10799415, 10799270, 10798818, 10798549, 10798021"
"10705671, 10662041, 10617243, 10482380, 10470868, 10507020, 10197239, 10100740, 9887734, 9886688, 9856405, 9855674, 9638851, 9410360, 9430243, 9040589, 8932566, 8941000, 8534011, 8472831, 10794557, 10675043, 10662041, 10499267, 10470868, 10409746, 10681327, 10507020, 10305517, 10197239, 10005057, 9991351, 9980611, 9961083, 10179357, 10146858, 10100740, 10062696, 10014078, 9915576","10795309, 10778752, 10778450, 10773907, 10758146, 10747082, 10743423, 10718285, 10713406, 10711144, 10706693, 10706449, 10796536, 10779805, 10746446, 10743743, 10743160, 10741690, 10718445, 10711241, 10794557, 10675043, 10470868, 10507020, 10433977, 10305517, 10005057, 9980611, 9961083, 9942572, 10179357, 10146858, 10062696, 10060968, 10014078, 9942837, 9863213, 9815714, 9737809, 9063094, 10800916, 10800778, 10800157, 10799902, 10799778, 10799597, 10798900, 10798361, 10797776, 10797616, 10795834, 10795779, 10794784, 10794557, 10794469, 10792633, 10792067, 10792057, 10790698, 10787489","10801052, 10801004, 10800824, 10800505, 10800401, 10800207, 10799955, 10799425, 10799112, 10796709, 10795475, 10794746, 10794624, 10794555, 10793954, 10793165, 10792243, 10792063, 10792057, 10792043, 10792057, 10779485, 10791971, 10760068, 10751508, 10687470, 10608660, 10606932, 10582034, 10572190, 10536327, 10501248, 10423310, 10675691, 10625306, 10613183, 10587524, 10555929, 10487861, 10472071"
"10763947, 10743746, 10715087, 10734416, 10662143, 10458427, 10653868, 10434160, 10433963, 10433868, 10265600, 10203365, 10172325, 10100756, 9998046, 9927453, 10102598, 9879109, 9858301, 9723798, 10801462, 10800966, 10800491, 10798636, 10797064, 10797042, 10796079, 10794740, 10794557, 10793177, 10790753, 10790702, 10789242, 10788854, 10785380, 10783141, 10783112, 10781979, 10780934, 10780904","10763947, 10743746, 10729762, 10746215, 10734468, 10662143, 10521354, 10458427, 10434160, 10433963, 10433868, 10364312, 10277598, 10265600, 10100756, 10081199, 9998046, 9927464, 9836087, 9813417, 10763947, 10743746, 10734416, 10662143, 10458427, 10434160, 10433963, 10433868, 10203365, 10172325, 10100756, 9998046, 9927453, 10102598, 10039899, 9858301, 9665402, 9491525, 9504724, 9369223","10794728, 10781479, 10763947, 10748866, 10743746, 10709544, 10767908, 10756120, 10746215, 10745678, 10734468, 10734416, 10720368, 10691062, 10684552, 10644618, 10636852, 10632748, 10626275, 10599764"
"10802508, 10800916, 10799902, 10799553, 10795475, 10794237, 10790702, 10785702, 10785534, 10779485, 10777093, 10773624, 10772551, 10770137, 10763188, 10758991, 10747268, 10747232, 10746178, 10744307, 10795475, 10794237, 10790702, 10785534, 10777093, 10772551, 10747268, 10746178, 10741940, 10734528, 10734470, 10730444, 10729682, 10719069, 10716368, 10714824, 10714804, 10714774, 10714645, 10708520","10802508, 10734528, 10708961, 10765533, 10746202, 10714817, 10653842, 10610783, 10582251, 10557681, 10551183, 10470527, 10462825, 10433843, 10669383, 10650705, 10295080, 10228716, 10221265, 10621956","10795475, 10746178, 10734470, 10754466, 10740531, 10730369, 10645889, 10611514, 10577428, 10303177, 10266544, 10262782, 10221265, 10621663, 10452036, 10380345, 10299321, 10252007, 9995987, 9953403, 10795475, 10794237, 10790702, 10772551, 10770137, 10747268, 10746178, 10744307, 10741940, 10734528, 10734470, 10730444, 10719069, 10716368, 10714824, 10714774, 10703887, 10703180, 10694194, 10688821"
"10810667, 10808876, 10808787, 10808065, 10537495, 10806295, 10805651, 10805406, 10800157, 10798865, 10798365, 10797776, 10796311, 10795779, 10795475, 10794624, 10794557, 10793686, 10793679, 10791026, 9994512, 8527133, 10527190, 10526746, 10525885, 10524266, 10523759, 10504180, 10498782, 10497313, 10494327, 10493557, 10492847, 10489354, 10487440, 10486307, 10484231, 10481871, 10477901, 10471993, 10524266, 10493557, 10491976, 10484231, 10436623, 10435389, 10432828, 10423824, 10421146, 10373267, 10355691, 10353503, 10290424, 10268008, 10230642, 10213106, 10504119, 8415294, 10455619, 10453987","10803367, 10799778, 10792633, 10791986, 10773723, 10754983, 10740752, 10716308, 10715246, 10705773, 10703043, 10810693, 10801522, 10800223, 10772138, 10767166, 10761908, 10757967, 10746243, 10745813, 10810580, 10810575, 10810572, 10810472, 10810324, 10810133, 10809998, 10809342, 10809260, 10808940, 10808799, 10808558, 10808227, 10536600, 10535832, 10807791, 10807343, 10806601, 10806497, 10806000","10810667, 10808433, 10539384, 10806207, 10806125, 10805651, 10804938, 10803422, 10800207, 10799563, 10797776, 10796730, 10795779, 10794815, 10794557, 10791926, 10786686, 10786629, 10781698, 10781068, 10773723, 10766591, 10705773, 10803326, 10801215, 10767166, 10755822, 10746243, 10731997, 10731114, 10723812, 10709636, 10705146, 10680848, 10609686, 10599645, 10574285, 10569670, 10562559, 10525669, 10731997, 10709636, 10705146, 10525669, 10362363, 10340020, 10318726, 10646503, 10527964, 10503645, 10443826, 10401411, 10123295, 10000335, 9885815, 9867202, 9854570, 9853865, 9820185, 9771676"
"10808876, 10808787, 10808065, 10537495, 10806295, 10805651, 10805406, 10804693, 10804519, 10803565, 10803422, 10801111, 10800578, 10800310, 10800300, 10800207, 10800157, 10799925, 10798365, 10797776","10810039, 10809658, 10809459, 10538880, 10535508, 10806294, 10806274, 10806270, 10806020, 10805253, 10804938, 10804591, 10804439, 10804344, 10803707, 10803539, 10742215, 10801714, 10800934, 10800828, 10780434, 10675928, 10100940, 9630232, 9340992, 9437120, 9374048, 9152137, 9131011, 9105997, 9036178, 9247847, 8618843, 8228232, 7551214, 6787566, 7169345, 5974413, 7159391, 4669991, 10810485, 10810452, 10810416, 10810328, 10810276, 10810275, 10810085, 10810039, 10810035, 10809922, 10809907, 10809876, 10809671, 10809658, 10809608, 10809599, 10809564, 10809477, 10809469, 10809459","10809567, 10809532, 10808711, 10805357, 10805251, 10804662, 10803436, 10801670, 10801044, 10800390, 10798156, 10798037, 10797064, 10797006, 10796451, 10795991, 10794282, 10794126, 10793104, 10792057, 10809201, 10808433, 10804938, 10799834, 10796631, 10791998, 10790738, 10783791, 10780757, 10779047, 10777040, 10774582, 10772689, 10767780, 10767459, 10766654, 10764504, 10761021, 10759424, 10758001, 10810350, 10809338, 10809208, 10809181, 10808833, 10808821, 10534830, 10807851, 10807476, 10806059, 10805339, 10805109, 10804800, 10804729, 10803520, 10803422, 10803404, 10803367, 10734222, 10801873, 10804938, 10803422, 10800578, 10800207, 10794235, 10792149, 10791926, 10790211, 10789024, 10783776, 10780463, 10775812, 10773624, 10772641, 10767780, 10766776, 10763382, 10759424, 10753978, 10753134, 10810176, 10809626, 10809567, 10809155, 10808821, 10808787, 10808575, 10808496, 10808482, 10808448, 10808320, 10808298, 10537778, 10807476, 10807427, 10807216, 10806113, 10805679, 10805027, 10804991"
"10808433, 10537495, 10805406, 10800207, 10800157, 10798911, 10796730, 10796567, 10795779, 10795475, 10794624, 10794557, 10794555, 10793679, 10790632, 10790211, 10789024, 10785269, 10783791, 10782214","10810416, 10809898, 10809794, 10809764, 10809653, 10809532, 10809209, 10809198, 10808938, 10808724, 10808698, 10808646, 10808607, 10808540, 10808498, 10808464, 10808357, 10808348, 10808089, 10541174, 10758498, 10704251, 10664500, 10620094, 10600957, 10544547, 10484231, 10316111, 10306241, 10493895, 10471515, 10185446, 10177356, 9969057, 10200802, 10162992, 10113558, 10028056, 9844952, 9861059, 10808938, 10803603, 10799776, 10798254, 10794456, 10794142, 10793677, 10790660, 10787373, 10786937, 10782385, 10781793, 10781743, 10778954, 10778438, 10774906, 10774142, 10773171, 10771787, 10771477","10809201, 10808433, 10537495, 10806247, 10806207, 10805412, 10805406, 10804938, 10804519, 10803515, 10801516, 10801350, 10800401, 10800207, 10800196, 10800157, 10800091, 10799834, 10798911, 10798867, 10061081, 10806295, 10800300, 10800207, 10794781, 10781698, 10780634, 10779093, 10778579, 10774582, 10767989, 10766395, 10761021, 10758498, 10756490, 10741644, 10732203, 10731404, 10730217, 10729378, 10725171"
"10809763, 10808787, 10808433, 10806295, 10805651, 10805406, 10804693, 10804519, 10803565, 10803422, 10801516, 10801111, 10800300, 10800207, 10800091, 10798865, 10797776, 10797652, 10796730, 10796567","10808558, 10808309, 10806909, 10805385, 10803788, 10803398, 10803218, 10799675, 10798956, 10794718, 10792175, 10791726, 10791040, 10789968, 10789930, 10789770, 10788349, 10786872, 10784681, 10781953, 10810416, 10809404, 10808870, 10805842, 10805075, 10804459, 10803549, 10803364, 10801542, 10800936, 10800207, 10800054, 10796970, 10795365, 10795262, 10795160, 10794848, 10794845, 10794815, 10794785, 10810416, 10804459, 10801542, 10794848, 10794567, 10794540, 10794148, 10794142, 10792648, 10791977, 10789799, 10789753, 10789751, 10789022, 10786885, 10786688, 10783989, 10782923, 10782903, 10782702","10809681, 10808787, 10806247, 10803515, 10801516, 10801350, 10800310, 10800207, 10799834, 10797776, 10794845, 10794815, 10794781, 10794557, 10794235, 10791998, 10790789, 10790632, 10790211, 10785688, 10809201, 10808787, 10808433, 10803565, 10803515, 10803166, 10801516, 10800401, 10799834, 10796354, 10794555, 10787309, 10785269, 10781698, 10779093, 10779047, 10778587, 10778579, 10777040, 10776137, 10810667, 10809763, 10809681, 10809271, 10809201, 10808787, 10808433, 10808065, 10539384, 10534554, 10807952, 10806739, 10806439, 10806295, 10806247, 10806207, 10806125, 10805651, 10805495, 10805406"
"10809763, 10808876, 10808787, 10808065, 10537495, 10806295, 10805651, 10805406, 10804693, 10804519, 10803565, 10801516, 10801111, 10800578, 10800300, 10800207, 10800157, 10799925, 10798865, 10798365, 9994512, 10534035, 10530753, 10527190, 10526746, 10526165, 10523759, 10507713, 10502305, 10497313, 10493557, 10491976, 10491915, 10487966, 10487633, 10487082, 10486298, 10481537, 10478010, 10476393, 9782203, 9548122, 9546826, 9550512, 9531436, 9542864, 9542427, 9523894, 9526137, 9551995, 9551612, 9532165, 9549250, 9549136, 9527826, 9519015, 9511723, 9537701, 9540502, 9539765, 9994512, 10534035, 10530753, 10527190, 10526746, 10526165, 10523759, 10518632, 10508614, 10507713, 10506414, 10502305, 10498776, 10497313, 10493557, 10491976, 10491915, 10487966, 10487633, 10487082","10533586, 10532864, 10532730, 10532456, 10532318, 10532202, 10531186, 10526815, 10525097, 10522932, 10522769, 10521369, 10521059, 10520331, 10516970, 10512742, 10512374, 10512290, 10512232, 10511875, 10800207, 10760059, 10754638, 10799562, 10758492, 10749662, 10730188, 10673567, 10620799, 10617678, 10617388, 10604849, 10598944, 10582034, 10581245, 10515965, 10499762, 10459661, 10654231, 10264219","10810499, 10810350, 10810200, 10810176, 10810133, 10810019, 10809998, 10809835, 10809708, 10809626, 10809567, 10809532, 10809322, 10809181, 10809094, 10809089, 10809005, 10808858, 10808821, 10808811, 10455757, 10390739, 10380448, 10354238, 10311743, 10272400, 10218917, 10530247, 10517015, 10420059, 10411465, 10298566, 10286402, 10228462, 10216810, 10182918, 10178071, 10154514, 10061522, 10058757, 10810667, 10810604, 10810584, 10809681, 10809271, 10809201, 10808730, 10808433, 10539384, 10534554, 10807952, 10807222, 10806739, 10806458, 10806439, 10806247, 10806207, 10806125, 10806101, 10805605, 9994512, 10534114, 10534045, 10534035, 10533555, 10533081, 10532785, 10532649, 10532519, 10532432, 10532357, 10531621, 10531294, 10531215, 10531012, 10530764, 10530753, 10530739, 10530267, 10530084"
